page_number,sentence_chunk,chunk_char_count,chunk_word_count,chunk_token_count
40,"For example, a problem  may be overcome by developing internal standards or training members of staff.  These solutions may be superseded by longer term, possibly more costly, solutions,  but the focus on the business has ensured that the immediate needs have been met.  Once urgent issues have been addressed, the longer term solutions can be considered  more thoroughly. It is important that our focus as business analysts is on identifying  opportunities for improvement with regard to the needs of the particular situation. If we  do this, we can recommend changes that will help deliver real business improvements  and ensure that funds are invested prudently.",665,104,166.25
40,"Agile systems development Agile is a software development approach which emerged in the late 1990s in the wake  of approaches such as Rapid Application Development (RAD) and the Dynamic System  Development Method (DSDM). The use of such approaches evolved as a reaction to  the linear waterfall lifecycle, with its emphasis on completing a stage before moving  on to the next stage. The Agile philosophy is to deliver software increments early and  to elaborate requirements using approaches such as prototyping. The Agile Manifesto  stated: 10",544,84,136.0
41,"WHAT IS BUSINESS ANALYSIS? We are uncovering better ways of developing software by doing it and helping others  do it. Through this work we have come to value: Individuals and interactions over processes and tools Working software over comprehensive documentation Customer collaboration over contract negotiation Responding to change over following a plan That is, while there is value in the items on the right, we value the items on the  left more. So, what does this mean for the business analyst? In essence, where a business analyst  is working on a project where an Agile software development approach has been  adopted, the analyst will be involved in supporting the business users in clarifying,  elaborating and prioritising the requirements during the development process.",782,122,195.5
41,"While  some early business analysis work will have been required to uncover the problems to  be addressed and define the business requirements, at a solution level the more detailed  requirements will be elaborated during timeboxed iterations where collaborative  teams comprising users, analysts and developers work together to develop part of  the software required product. The business analyst brings domain expertise and  analytical ability to the development team, assisting the users by assessing the impact  of proposed functionality in the light of the strategic business context. The role of the  business analyst in an Agile environment is explored further in Chapters 10 and 13. Supporting business change It is often commented that, even when the business analysts have defined excellent  solutions that have been well-designed and developed, business improvement initiatives  can fail during implementation. The business analyst may be required to support the  implementation of the business changes.",1014,147,253.5
41,"Figure 1.3 also offers an effective structure for  identifying the range of areas to be considered. One aspect may concern the business  acceptance testing – a vital element if business changes are to be implemented smoothly.  The business analyst’s involvement in business acceptance testing can include work  such as developing test scenarios and working with the business users as they apply the  scenarios to their new processes and systems. Further, the implementation of business  change may require extensive support from the business analysts, including tasks such as: yy writing procedure manuals and user guides; yy training business staff in the use of the new processes and IT systems; yy defining job roles and writing job role descriptions; yy providing ongoing support as the business staff begin to adopt the new,  unfamiliar, approaches. 11",857,133,214.25
42,"BUSINESS ANALYSIS The role of the business analyst throughout the change lifecycle is explored further in  Chapter 14. THE ROLE AND RESPONSIBILITIES OF A BUSINESS ANALYST So where does this leave us in defining the role and responsibilities of a business  analyst? Although there are different role definitions, depending upon the organisation,  there does seem to be an area of common ground where most business analysts work.  These core responsibilities are: yy Investigate business systems taking a holistic view of the situation; this  may include examining elements of the organisation structures and staff  development issues as well as current processes and IT systems. yy Evaluate actions to improve the operation of a business system.",744,114,186.0
42,"Again, this  may require an examination of organisational structure and staff development  needs, to ensure that they are in line with any proposed process redesign and  IT system development. yy Document the business requirements for the IT system support using  appropriate documentation standards. yy Elaborate requirements, in support of the business users, during evolutionary  system development. In line with this, we believe the core business analyst role should be defined as: An advisory role which has the responsibility for investigating and analysing business  situations, identifying and evaluating options for improving business systems,  elaborating and defining requirements, and ensuring the effective implementation  and use of information systems in line with the needs of the business. Some business analysis roles extend into other areas, possibly the strategic analysis or  systems analysis activities described above.",941,132,235.25
42,"This may be where business analysts are  in a more senior role or choose to specialise. These areas are: yy Strategy implementation – here the business analysts work closely with senior  management to help define the most effective business system to implement  elements of the business strategy. yy Business case production – more senior business analysts usually do this,  typically with assistance from Finance specialists. yy Benefits realisation – the business analysts carry out post-implementation  reviews, examine the benefits defined in the business case and evaluate  whether or not the benefits have been achieved. Actions to achieve the business  benefits are also identified and sometimes carried out by the business analysts.",740,111,185.0
42,yy Specification of IT requirements – typically using standard modelling  techniques such as data modelling or use case modelling. 12,133,20,33.25
43,"WHAT IS BUSINESS ANALYSIS? The definition of the business analyst role may be expanded by considering the rationale  for business analysis. The rationale seeks to explain why business analysis is so  important for organisations in today’s business world and imposes responsibilities that  business analysts must recognise and accept. The rationale for business analysis is: yy Root causes not symptoms ß To distinguish between the symptoms of problems and the root causes ß To investigate and address the root causes of business problems ß To consider the holistic view yy Business improvement not IT change ß To recognise that IT systems should enable business opportunity or problem  resolution ß To analyse opportunities for business improvement ß To enable business agility yy Options not solutions ß To challenge pre-determined solutions ß To identify and evaluate options for meeting business needs yy Feasible, contributing requirements not meeting all requests ß To be aware of financial and timescale constraints ß To identify requirements that are not feasible and do not contribute to  business objectives ß To evaluate stated requirements against business needs and constraints yy The entire business change lifecycle not just requirements definition ß To analyse business situations ß To support the effective development, testing, deployment and post- implementation review of solutions ß To support the management and realisation of business benefits yy Negotiation not avoidance ß To recognise conflicting stakeholder views and requirements ß To negotiate conflicts between stakeholders THE BUSINESS ANALYSIS MATURITY MODEL As the Business Analysis Practice has developed within organisations, a progression for  business analysis itself has emerged reflecting this development. The Business Analysis  Maturity ModelTM (BAMM) shown in Figure 1.4 was developed by Assist Knowledge  Development Ltd to represent the development and maturity of business analysis.",1992,288,498.0
43,13,2,1,0.5
44,"BUSINESS ANALYSIS Figure 1.4  The Business Analysis Maturity Model™ Figure  1.4 Y Note:  Figure reproduced with permission from Assist Knowledge Development Ltd. This model reflects discussions with several hundred, if not thousands, of business  analysts working for numerous organisations across the UK, Europe and beyond. These  business analysts have come from different backgrounds – some from IT, many from  business areas – and have brought different skills and knowledge to their business  analysis teams. The BAMM uses two axes: the scope of the work allocated to the  business analyst and the authority level of the business analyst. The scope may be very  specific if an initial study has identified the required course of action and the analyst  now needs to explore and define solution in greater detail. Alternatively, the scope  may have been defined at only an overview level, or may be very ambiguous, with the  business analyst having to carry out detailed investigation to uncover the issues before  the options can be explored.",1047,164,261.75
44,"The level of authority of the business analyst can also vary  considerably, from a limited level of authority to the ability to influence and guide at  senior management level. The BAMM shows three levels of maturity during the development of business analysis.  The first level is where the business analysis work is concerned with defining the  requirements for an IT system improvement. At this level, the scope is likely to be  well-defined and the level of authority limited to the project on which the business  analyst works. The next level is where the business analysis work has moved beyond  a specific IT development so that the analysts work cross-functionally to improve the  business processes that give rise to the requirements.",743,120,185.75
44,"The third level is where the  scope and authority of the analysts are at their greatest. Here, the business analysis  work is concerned with improving the business and working with senior management  to support the delivery of value to customers.  These levels of maturity apply to three perspectives on business analysis: the  individual analysts, the business analysis community within an organisation, and the  14",416,64,104.0
45,"WHAT IS BUSINESS ANALYSIS? business analysis profession as a whole. At each level, the application of techniques  and skills, the use of standards, and the evaluation of the work through measures,  can vary considerably. One of the points often raised about the BAMM is the link to the  Capability Maturity Model Integration (CMMI) represented in Figure 1.5. The CMMI was  developed by the Software Engineering Institute (SEI) at Carnegie Mellon University  and is an approach used for process improvement in organisations.",523,81,130.75
45,"If we consider  the BAMM in the light of the CMMI, we can see that the five levels of the CMMI apply  at each level. Figure 1.5  The Capability Maturity Model Integration Figure 1.5 An organisation that is developing its Business Analysis Practice may employ business  analysts who are chiefly employed on requirements definition work. In doing this, the  analysts may initially have to develop their own process and standards for each piece  of work. Therefore, they would be at the Systems Improvement level of the BAMM and  the Initial level of the CMMI. By contrast, an organisation that has employed business  analysts for some time may have analysts that can work at all three levels of the  BAMM.",703,119,175.75
45,"The analysts working at the Business Improvement level may have a defined  process, standards and measures that are managed for each assignment. These  business analysts are working at the Managed level of the CMMI. It is also useful to consider a version of CMMI, specifically developed to evaluate the  maturity of the Business Analysis Practice. Figure 1.6 shows a possible approach to  this maturity assessment.  15",419,66,104.75
46,"BUSINESS ANALYSIS Figure 1.6  CMMI for business analysis Figure 1.6 PROFESSIONALISM AND BUSINESS ANALYSIS Business analysis has developed a great deal over the last 25 years, to the extent that it  is often referred to as a ‘profession’ and many practitioners view themselves as having  a career in business analysis. The factors that support professionalism in business  analysis are as follows: yy Qualifications – qualifications that determine the standard of skills and abilities  of the individual professional that are recognised by employing organisations.  Many business analysts hold qualifications such as the BCS International  Diploma in Business Analysis or the IIBA® CBAP® or CCBA® certifications. The  seniority of some business analysts has also been recognised by the introduction  of the Expert BA Award offered by the BA Manager Forum. It is increasingly the  case that organisations require business analysts to hold qualifications.",952,141,238.0
46,"yy Standards – techniques and documentation standards that are applied in order  to carry out the work of the profession. Organisations typically have templates  for documents and standardise on modelling techniques such as those provided  by the Unified Modeling Language. Books such as this one are also used in  many organisations as a foundation for standards of business analysis practice. yy Continuing Professional Development – recognition of the need for the  continuing development of skills and knowledge in order to retain the pro­ fessional status. yy Professional Body – a body with responsibility for defining technical standards  and the code of conduct, promoting the profession and carrying out remedial  action where necessary.",746,112,186.5
46,"This may require the removal of members where  they do not reach the standard required by the code of conduct. The major  professional bodies for business analysts are BCS, the Chartered Institute for  IT and IIBA. 16",217,37,54.25
47,"WHAT IS BUSINESS ANALYSIS? We have come a long way in twenty-five years. Gradually, the business analyst role is  being defined with increasing clarity, individuals with extensive expertise are developing  and enhancing their skills, best practice is gaining penetration across organisations, and  a business analysis profession is becoming established. THE FUTURE OF BUSINESS ANALYSIS Business analysis has developed into a specialist discipline that can offer significant  value to organisations, not least by assuring the delivery of business benefits and  preventing unwise investments in ill-conceived solutions. Business analysis offers an  opportunity for organisations to ensure not only that technology is deployed effectively  to support the work of the organisation, but also that relevant options for business  change are identified that take account of budgetary and timescale pressures.",900,126,225.0
47," Business analysts can offer objective views that can challenge conventional wisdom,  uncover root causes of problems and define the changes that will accrue real business  benefits. Business analysts are passionate about their work and the contribution they  can make. They continually develop their skills and extend the breadth of work they  can undertake. Not only are they able to bridge IT and ‘the business’ but they can  also offer guidance on how to approach business change work and where priorities  might lie. Where outsourcing initiatives operate across departmental boundaries  and sometimes have impacts upon the entire organisation, the work carried out by  business analysts is vital if the new part in-house, part outsourced processes and  technology are going to deliver value to customers.",809,123,202.25
47,"The challenge for the analysts  is to ensure that they develop the extensive toolkit of skills, behavioural, business  and technical, that will enable them to engage with the problems and issues facing  their organisations, and assist in their resolution. The challenge for the organisations  is to support the analysts in their personal development, recognise the important  contribution they offer, ensure they have the authority to carry out business analysis to  the extent required by the situations they face, and listen to their advice. This book has  been developed primarily for the business analysis community but it is also intended  to help business professionals face the challenges of today’s business environment;  we hope anyone involved in defining and delivering business change will find it useful. REFERENCE Mance, H. (2013) ‘Why big IT projects crash’, Financial Times, 18 September, available  online at http://www.ft.com/cms/s/2/794bbb56-1f8e-11e3-8861-00144feab7de. html#axzz2jL208Sjj [accessed 18 June 2014].",1033,146,258.25
47,"FURTHER READING Cadle, J. (ed.) ( 2014) Developing Information Systems. BCS, Swindon. Cadle, J., Paul, D. and Turner, P. (2014) Business Analysis Techniques: 99 essential tools for  success, 2nd edn. BCS, Swindon.",213,32,53.25
47,17,2,1,0.5
48,"BUSINESS ANALYSIS Harmon, P. (2007) Business Process Change, 2nd edn. Morgan Kaufmann, Burlington, MA. IIBA (2014) Business Analysis Body of Knowledge (BABOK), IIBA, available at www.theiiba. org [accessed 18 June 2014].  Johnson, G., Scholes, K. and Whittington, R. (2008) Exploring Corporate Strategy, 8th edn.",312,44,78.0
48," FT Prentice Hall, Harlow. Senge, P. M. (2006) The Fifth Discipline: The Art and Practice of the Learning Organisation,  2nd edn. Random House Books, London. 18",160,26,40.0
49,"2 THE COMPETENCIES OF A BUSINESS  ANALYST Craig Rollason INTRODUCTION Good business analysts can make the difference between a poor and a great investment  in business and IT improvements. They can also help to resolve issues without jumping  to premature conclusions. But what exactly is a good business analyst? This chapter  aims to address this question by identifying and describing the competencies that  business analysts need in order to be effective in the modern business environment.  Competence has been described as ‘the ability to do a particular activity to a prescribed  standard’ (Working Group on Vocational Qualifications, 1986).",648,98,162.0
49,"For the purposes of this  chapter, we shall define a competence as an ability a business analyst needs to perform  his or her job effectively. The set of BA competencies can be divided into three broad  groups, illustrated in Figure 2.1. Figure 2.1  The competencies of a business analyst Figure 2.1 Note:  Items marked * are covered in more detail in later chapters.  19",371,64,92.75
50,BUSINESS ANALYSIS Personal qualities are concerned with how you think and how you interact with the  people around you. They are not specific to business analysis but are general skills  that are important for developing and progressing in any business environment.  Behavioural skills are arguably more important than technical or business skills  as they are a prerequisite for working with other people. It is often said that it is  easier to give a person with good behavioural skills the techniques they need for  their job than to graft behavioural skills onto a good technician. One of the main  reasons for this is that good behavioural skills take many years to develop.,679,111,169.75
50,We  discuss the development of competencies later in this chapter. A business analyst  also requires business knowledge which helps to develop a good understanding  of their organisation and the business domain or sector within which it operates.  This knowledge is vital if the business analyst is to offer advice and insights that  will help improve the organisation’s performance. The primary source of business  knowledge is through the experience of working in a variety of organisation and  project environments. Additional business knowledge can be developed through  reading relevant literature or studying for business qualifications.,643,93,160.75
50,"The professional  techniques are those specific to the business analyst role and differentiate business  analysts from other roles. Each of the competencies shown in Figure 2.1 is discussed  in the sections that follow and others indicated are covered in more detail in later  chapters of this book.  PERSONAL QUALITIES These are the interpersonal skills and characteristics that are useful for a business  analyst. Communication Communication is perhaps the most important skill an individual can possess; it  encompasses a wide range of areas such as building rapport, listening, influencing  and building empathy. Much analysis work involves collecting and analysing data  and then presenting back information that brings new perspectives on the project  so as to propose a course of action.",794,119,198.5
50,"Poor communication skills are often cited as the  root cause of problems during discussions between business and IT staff. The key  issues involve the use of technical and business jargon, and failing to understand  the other party’s point of view during such discussions.  It is vital that we communicate with business colleagues in a language and style they  are comfortable with and avoid unfamiliar terms and references. From the analyst  perspective, it is important to understand the business, possibly by doing some prior  research, and avoid using technical language that is likely to confuse. Spending time  with the business team will help you to understand what the communication norms  are and what will be effective.",729,115,182.25
50,It is also important to adjust your communication to  align with the other people in the discussion. We need to be aware of the interests  and responsibilities of the participants and frame questions accordingly.  20,216,35,54.0
51,"THE COMPETENCIES OF A BUSINESS ANALYST Relationship building This is an extension of communication skill and concerns the ability to get on well  with people, at a working if not social level. Some people seem to possess this ability  naturally, others have to work at it but either way it is essential for a business analyst. As  a business analyst you need to get people to impart information and share opinions with  you, and also to discuss ideas for change. All of these things will be very much easier  if the people concerned like and trust you. Those who seem best able to build good  working relationships demonstrate a genuine interest in the other person and offer  open discussions which build mutual trust and respect.",731,125,182.75
51,"This is the basis for successful  relationship building. Influencing Business analysts are often involved in suggesting options and, possibly, recommending  a course of action. If that conclusion is at odds with preconceived ideas about what  is required or if it calls for radical or unexpected action, then the ability to influence  is essential. Successful influencing requires careful consideration and a concerted  effort. We need to understand the stakeholders and factors that will play a part in the  decision.",518,78,129.5
51,"Some are obvious such as the project sponsor, project manager, governance  committees, project boards and other steering groups. Some are hidden – networks  of colleagues, personal agendas, hidden information. Identifying the stakeholders and  understanding the amount of power they exert over the decision-making processes will  allow you to target and influence the decision-makers most effectively. Once decision- makers have been identified, you can then define a course of action to take the decision  forward. This may involve briefing other colleagues – more senior or representatives on  decision-making groups – or influencing business colleagues directly.",665,94,166.25
51," The influencing activities need careful consideration and prior planning. Business  analysts have to develop an understanding of where the other party stands on their  proposal, any likely resistance and the influencing style needed to approach the person  or group. For example, some managers might defer all decisions to another group,  require all information at a very detailed level or prefer just a high-level summary.  Some are interested in all the technicalities, others in just the ‘vision’ or the ‘big picture’.  Tailoring the approach is vital for a successful outcome.",582,89,145.5
51,The analysis itself may be questioned requiring the business analysts to take or suggest  another course of action. This may involve facilitating a round table discussion or seeking  support from senior colleagues on the best course of action. This is especially true when  the business analyst is caught in the middle of opposing views. It also suggests that  another personal quality that business analysts need from time to time is the ability to  withstand pressure. Team working Business analysts often work in teams.,522,83,130.5
51,"The nature of business analysis work requires  collecting information from and collaborating with many groups such as business  colleagues, suppliers, project team members and management. As a result, the ability  to work in a team is very important. An appreciation of what makes successful teams  work will benefit the business analyst who should be able to make use of their analytical  21",392,62,98.0
52,"BUSINESS ANALYSIS skills to identify any issues and opportunities that will improve how the team works.  Key factors for consideration are vision, commitment, trust, capability, accountability,  principles, creativity, responsiveness and recognition. Political awareness This is a bit like an elephant – hard to describe but you know it when you see it! One way  of defining such awareness is to use the words ‘nous’ or ‘streetwise’; they both capture  elements of political awareness. Essentially, this means the ability to work out what  is and is not politically acceptable in an organisation and being able to use the right  organisational levers to get things done.",670,104,167.5
52,"This requires an analyst to know the sources of  power and information within the organisation, understanding what is acceptable or not,  and tailoring the approach accordingly. Having political awareness, emphatically does  not mean accepting the status quo; it does mean being astute and using resourcefulness  to get results, even in the face of opposition. Analytical skills and critical thinking Since the role we are talking about here is that of business analyst, it is clear that  analytical skills form a major part of the job but what does this mean in practice? It  means not settling for the obvious, not accepting things at face value and not jumping  to premature conclusions. It means digging deeper and deeper until the true situation  is uncovered and the real problem has been defined.",803,130,200.75
52,"It involves sifting through often- conflicting data and determining which is relevant and which are not, and presenting  the results of the analysis in a form suitable for the relevant stakeholders. And it  involves challenging received wisdom at every turn: Why do you do this? What value  does it add? Where is it done? How is it done?",337,58,84.25
52,Who is or should be responsible? When  should it happen? Is there another way to do this? Some analysts seem to believe that  the job simply consists of recording what the users say they want but this will not  reap the potential rewards without the active and critical intervention of the analyst.  Over time the analyst will be able to assess the level of analysis required for a specific  situation.,402,70,100.5
52,"One maxim often used is to conduct 20 per cent of the analysis in order to  achieve 80 per cent of the right answer – and then be 100 per cent convincing when  influencing the outcome. This doesn’t mean taking shortcuts on the analysis; it does  mean recognising the key factors and the imposed constraints rather than trying to  analyse everything. Attention to detail Several aspects of the business analyst’s work require detailed investigation. Whether  it is uncovering the root causes of problems, defining the costs and benefits associated  with a proposed option, defining business requirements and rules or identifying the  impacts of proposed changes, the business analyst has a responsibility to ensure that  key information is not missed. The key competence here is to have an attention to detail  when necessary and to be able to identify when this is required.",874,142,218.5
52,Problem solving Too often business analysts complain that a solution is decided upon without there  being a full appreciation of the problem to be addressed. This focus on understanding  22,189,30,47.25
53,"THE COMPETENCIES OF A BUSINESS ANALYST the problem before rushing towards a solution is a key tenet of business analysis, – this  is where significant value can be delivered. It could be said that a business analyst is  at heart someone who likes to solve business problems. There are many techniques  and frameworks associated with creative problem solving, and Chapter 4 provides an  overview of one such approach, but problem-solving competence requires more than  just an understanding of how to approach a problem. There is a need for a problem- solving mindset, requiring curiosity, tenacity and analytical ability plus an open mind  that seeks out and evaluates options. Pragmatism is also key to successful problem  solving.",732,116,183.0
53,"Leadership Leadership is a skill that is often associated with management. However, the fundamental  characteristics of leadership – developing a vision, taking ownership of that vision and  ensuring the actions to achieve that vision are implemented – can be applied to all types  of work. Thus, leadership is highly applicable to business analysis and in this context  may be defined as creating a vision of the approaches and options available to address a  business issue, advising stakeholders in order to obtain agreement about the vision and  then driving the business and IT change process towards the achievement of that vision. No two projects are the same. Each project has different objectives, constraints and  stakeholders, and hence the required approach, skills and resources will differ.",804,124,201.0
53,"It is  important to assess each situation on its own merits, decide what is needed and then  design the analysis process. This should be within the broader context of analysing  business systems not just IT systems. The business analyst needs to consider all  aspects of the organisation or business area within which they work, including people,  culture, processes, commercial and technical aspects. Getting the vision and actions  right requires holistic thinking and rigorous analysis, and positions the project for  success with key business stakeholders. In recent years, the business analyst as a leader has emerged as a common theme in  the business analysis and wider business and IT community.",703,109,175.75
53,"For example, the ‘expert  BA’ award developed by the BA Manager Forum requires candidates to demonstrate  significant experience in leading analysis initiatives. The potential of business analysis  to innovate and transform has in some organisations propelled the role to senior levels  with executive level reporting. Different levels of leadership – self, project, organisation  and wider world – have been recognised with regard to the business analyst role (Pullan  and Archer 2013).  Self-belief This last quality is one that is often overlooked but is extremely important. It means  having sufficient self-confidence – in yourself, in the quality of your analysis, in the  relevance of your approach – to be able to withstand pressure, challenge proposals,  analyse impacts and sustain your arguments.",807,120,201.75
53,Self-belief is a key competence for  working effectively with stakeholders across the broad range of situations likely to be  encountered by business analysts. One lens that may be used to think about self-belief  is the concept of ‘locus of control’. This is the degree to which individuals themselves  believe they control events and affect them. A strong internal locus of control means  23,393,63,98.25
54,"BUSINESS ANALYSIS the individual believes they can influence the events that happen. This may be compared  with a strong external locus of control, in which events happen which the individual feels  they cannot control. A business analyst with an external locus could have difficulty in  gaining credibility with stakeholders and convincing them of the value they can deliver.  Professional development A continuous improvement mindset is also critical for the business analyst. This  should apply to personal development as well as enabling colleagues and the  organisation to develop.",586,87,146.5
54,"This will assist the organisation to focus on ongoing  learning, enabling it to adapt to new challenges in today’s fast moving business and  IT environment. This competence may be demonstrated through various activities  such as coaching, mentoring, training delivery, contribution to professional forums  and applying for business analysis awards.  BUSINESS KNOWLEDGE This section considers the range of business knowledge and understanding which is  essential as a background and foundation for the business analyst’s work. Business finance The universal language of business is finance. Whether the business analyst is working  in the commercial, government or non-profit sectors of the economy, finance plays a  key role in deciding what funds are available and what can and cannot be done.",794,117,198.5
54,"As a  result, the business analyst needs to have a good working knowledge of the basics of  business finance. This includes a general understanding of aspects such as the balance  sheet and income statement (profit and loss account), financial analysis tools like ratio  analysis, budgeting and cash flow, the nature of profit or surplus, and the principles  of costing products and services. Without this understanding, it is not possible for an  analyst to evaluate suppliers, deliver well-thought-through process improvements or  evaluate options in business cases. Business case development Much of the business analyst’s work will be to assess the costs and benefits of delivering  a project to the organisation. So, when communicating analysis findings, it is important  to ensure that you have a view on the financial impact that the project will have.",859,133,214.75
54,"In its  own right, IT is only an enabling tool for business benefits to be achieved and a business  analysis project may involve other specialists, such as management accountants, to  model the business activities and determine how IT can deliver financial benefit. To  develop the business case, a basic understanding of finance, as described above, is  required. Business analysts involved in business case preparation will need to understand  investment appraisal techniques such as break-even analysis and discounted cash flow;  these techniques are explained in Chapter 9. Over recent years many business analysts  have developed a greater understanding of the benefits and costs of technical solutions.  This is a positive development as it enables analysts to disregard costly options quickly,  and ensure that they deliver value from their analysis work.",862,129,215.5
54,24,2,1,0.5
55,"THE COMPETENCIES OF A BUSINESS ANALYST Domain knowledge Domain knowledge involves a good general understanding of the business domain, or  sector, in which your organisation operates. Apart from the general domain, there is  more specific domain knowledge, for instance, supermarkets within the retail domain  and social care within local government. The reasons why this knowledge is required  are threefold: yy It enables you to communicate with the business people involved in the  project, using language with which they are familiar – the personal qualities of  communication and relationship building also help here. yy It will help you to understand what would, and would not, be acceptable or  useful to this business domain; issues of profit, for instance, are unlikely to be  of interest when working in a social security department. yy It may enable you to use ideas and experiences – particularly those relating to  best practice from an organisation, typically but not necessarily within the same  business domain, and apply them elsewhere.",1053,163,263.25
55,"Subject matter expertise Subject matter expertise is more specific, taking the domain knowledge to a lower level  of detail. If working on a particular area such as a specific product line or service, a good  understanding of the terminology, processes and constraints is important to establish  credibility with the customer. Business analysts may be specialists in particular  business domains and have a strong understanding of the subject area. This will enable  them to communicate more easily with the business staff and identify potential areas  for change or further analysis.  Principles of information technology Many business analysts do not come from an IT background and say – rightly – that  their job is not to be expert in IT-related issues; that, after all, is why there are technical  architects, developers and testers.",838,131,209.5
55,"However, the original conception of business analysis  was as a ‘bridging’ role, enabling the communication between the business and IT  staff. Given that the majority of business analysis projects result in the use of software  applications, a general understanding of IT and software development approaches  is necessary so that business analysts can communicate meaningfully with the IT  professionals and appreciate their role and contribution to the systems development  process. The increasing use of Agile approaches has placed a greater responsibility on  business analysts to understand IT and related issues.  The extent to which you will need technical knowledge will depend on the nature of  the analysis work being undertaken. Whilst strong technical knowledge is often useful  this may be better obtained from those with specialist skills, for example, solution and  enterprise architects, developers or external suppliers.",937,136,234.25
55,"The key requirement is that the  business analyst can understand the technical terms used by IT specialists and help the  business users to appreciate any impacts on the organisation. However, as IT solutions  are often investigated by business analysts they should also possess an understanding  of IT fundamentals, including areas such as: 25",344,53,86.0
56,"BUSINESS ANALYSIS yy how computers work including operating systems, application software,  hardware and networks; yy systems development lifecycles, for example the unified process or the ‘V’ model;  yy systems modelling approaches such as the Unified Modeling Language (UML); yy systems development approaches, for example, the Dynamic Systems  Development Method (DSDM) and Scrum;  yy the relative pros and cons of developing systems instead of buying them off  the shelf; yy trends and new opportunities that IT brings such as big data, software as a  service, visualisation, mobile technologies, and how these impact systems and  business development. Organisation structures As well as improving processes and IT, many business analysis projects involve  restructuring divisions or teams – to a greater or lesser degree – in order to remove  hand-offs, centralise tasks or improve the customer service. For these reasons,  it is important for a business analyst to have a good understanding of the various  organisation structures that may be encountered – functional, project, matrix and so  on – and of their relative strengths and weaknesses. Supplier management Many organisations use external suppliers to deliver their IT systems, either on an  ad-hoc basis or perhaps through a more comprehensive outsourcing arrangement  which may cover whole business processes or even an entire business function.  For example, many organisations have outsourced their payroll for several years  but some have now extended this to cover much of the human resources work from  recruitment to record keeping.",1605,239,401.25
56,"The selection and contracting of suppliers tends to  fall within the domain of the procurement function. However, for some outsourcing  contracts the business analyst may be involved in this work so needs a broad  understanding of procurement and supplier management processes. As a minimum,  business analysts should be aware of the different contractual arrangements that  are available, for example: yy Time and materials – where the contracted party is paid on the basis of the  time worked; this is not the elapsed time on the project but the amount of effort  employed. yy Fixed price delivery – where the contracted party is paid the price that they  agreed for the delivery of the work in line with the original specification. yy Risk and reward – where the contracted party has agreed to bear some or all  of the risk of the project, for example, by investing resources such as staff time,  materials or office space, but where the potential rewards are greater than  under other contractual arrangements.",1014,167,253.5
56,26,2,1,0.5
57,"THE COMPETENCIES OF A BUSINESS ANALYST Business analysts should also understand the supplier management process and should  be able to engage with suppliers to ensure that they deliver their services effectively. Business architecture Business architecture concerns the knowledge and understanding of how organisations  behave with particular emphasis on the systems, processes, management structures,  culture and people. Often used in the role of business architects, this ‘big picture’ insight  helps set the overall strategic context and vision within which business and IT change  projects operate. This is explored further in Chapter 8. PROFESSIONAL TECHNIQUES This section considers the range of business analysis techniques that may be applied  during assignments.",772,108,193.0
57,"Project management The PMI (Project Management Institute) publishes a body of knowledge that lists  several areas of project management activity: the project management context and  processes; scope management; integration management; time management; cost  management; quality management; human resource management; communications  management; risk management; procurement management. Similarly, the  Association for Project Management (APM) has a body of knowledge that comprises  four sections describing the work of a project manager. Where the project team is  small, the business analyst may be required to undertake the project manager role  and so needs an awareness of project management techniques and approaches, and  have project management skills. Larger projects often employ a specialist project  manager but even in these cases, there are some project skills that an analyst should  have. For example, understanding project initiation is vital as it allows the analyst to  understand, or even define, the terms of reference for the project.",1056,149,264.0
57,"It is also important  that the analyst understands project management planning approaches – as they will  have to work within a plan – and is aware of particularly relevant aspects such as  dependencies between tasks, quality assurance and risk management. Strategy analysis This covers a range of techniques that can be used to understand the business direction  and the strengths and weaknesses of an organisation – or part of an organisation.  Strategy analysis is explored in more detail in Chapter 3. Stakeholder analysis and management Stakeholder management is a key element of business analysis. It involves the ability  to identify, analyse and develop management strategies for stakeholders.",701,107,175.25
57,"For example,  the business analyst needs to determine the stakeholders in a business analysis project,  understand their views and work out how their interests are best managed. Stakeholder  analysis and management is the subject of Chapter 6. 27",246,38,61.5
58,"BUSINESS ANALYSIS Investigation techniques Clearly, to get to the root of a business issue, the analyst will have to have a range of  techniques within their toolkit in order to undertake an effective analysis of the area.  Investigation techniques are reviewed in Chapter 5. Requirements engineering This is the set of practices and processes that lead to the development of a set of  well-formed business requirements, from which the business and IT solutions can be  developed. The topic is examined in Chapters 10, 11 and 12. Business modelling Business modelling is an approach to visualising business systems through the creation  of conceptual models.",658,103,164.5
